concept,element,estadistico,breakdown,category,measure,wave,value
INCOME,LABOUR INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2017,49.21333872303747
INCOME,LABOUR INCOME,MEDIAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2017,18.41661962326031
INCOME,CAPITAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2017,1.9730343636630447
INCOME,CAPITAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2017,3.258539668819544
INCOME,CAPITAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2017,5.302887450079879
INCOME,CAPITAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2017,22.417433331499925
INCOME,CAPITAL INCOME,MEAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2017,1.461954171346641
INCOME,CAPITAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2017,0.2516083147626455
INCOME,CAPITAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2017,0.3812247193373418
INCOME,CAPITAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2017,0.7596768952613211
INCOME,CAPITAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2017,6.513166568557373
INCOME,CAPITAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2017,0.3197666736744734
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2014,26.9428412994766
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2014,33.24380145550448
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2014,46.89710787300525
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2014,79.75350805528701
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2014,22.73506532642504
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2014,21.11339508651731
